敬;ケイ,キョウ;うやま.う;awe, respect, honor, revere
軽;ケイ;かる.い,かろ.やか,かろ.んじる;lightly, trifling, unimportant
芸;ゲイ,ウン;う.える,のり,わざ;technique, art, craft, performance, acting, trick, stunt
劇;ゲキ;;drama, play
血;ケツ;ち;blood
券;ケン;;ticket
県;ケン;か.ける;prefecture
肩;ケン;かた;shoulder
賢;ケン;かしこ.い;intelligent, wise, wisdom, cleverness
軒;ケン;のき;flats, counter for houses, eaves
減;ゲン;へ.る,へ.らす;dwindle, decrease, reduce, decline, curtail, get hungry
個;コ,カ;;individual, counter for articles
固;コ;かた.める,かた.まる,かた.まり,かた.い;harden, set, clot, curdle
庫;コ,ク;くら;warehouse, storehouse
戸;コ;と;door, counter for houses, door radical (no. 63)
枯;コ;か.れる,か.らす;wither, die, dry up, be seasoned
湖;コ;みずうみ;lake
雇;コ;やと.う;employ, hire
効;コウ;き.く,ききめ,なら.う;merit, efficacy, efficiency, benefit
厚;コウ;あつ.い,あか;thick, heavy, rich, kind, cordial, brazen, shameless
硬;コウ;かた.い;stiff, hard
紅;コウ,ク;べに,くれない,あか.い;crimson, deep red
耕;コウ;たがや.す;till, plow, cultivate
肯;コウ;がえんじ.る;agreement, consent, comply with
航;コウ;;navigate, sail, cruise, fly
荒;コウ;あら.い,あら-,あ.れる,あ.らす,-あ.らし,すさ.む;laid waste, rough, rude, wild
講;コウ;;lecture, club, association
郊;コウ;;outskirts, suburbs, rural area
鉱;コウ;あらがね;mineral, ore
香;コウ,キョウ;か,かお.り,かお.る;incense, smell, perfume
腰;ヨウ;こし;loins, hips, waist, low wainscoting
骨;コツ;ほね;skeleton, bone, remains, frame
根;コン;ね,-ね;root, radical, head (pimple)
混;コン;ま.じる,-ま.じり,ま.ざる,ま.ぜる,こ.む;mix, blend, confuse
査;サ;;investigate
砂;サ,シャ;すな;sand
再;サイ,サ;ふたた.び;again, twice, second time
採;サイ;と.る;pick, take, fetch, take up
祭;サイ;まつ.る,まつ.り,まつり;ritual, offer prayers, celebrate, deify, enshrine, worship
細;サイ;ほそ.い,ほそ.る,こま.か,こま.かい;dainty, get thin, taper, slender, narrow
菜;サイ;な;vegetable, side dish, greens
材;ザイ;;lumber, log, timber, wood, talent
坂;ハン;さか;slope, incline, hill
咲;ショウ;さ.く,-ざき;blossom, bloom
冊;サツ,サク;ふみ;tome, counter for books, volume
刷;サツ;す.る,-ず.り,-ずり,は.く;printing, print
札;サツ;ふだ;tag, paper money, counter for bonds, placard, bid
皿;ベイ;さら;dish, a helping, plate
算;サン;そろ;calculate, divining, number, abacus, probability
伺;シ;うかが.う;pay respects, visit, ask, inquire, question, implore
刺;シ;さ.す,さ.さる,さ.し,さし,とげ;thorn, pierce, stab, prick, sting, calling card
史;シ;;history, chronicle
枝;シ;えだ;bough, branch, twig, limb, counter for branches
糸;シ;いと;thread
脂;シ;あぶら;fat, grease, tallow, lard, rosin, gum, tar
詞;シ;;part of speech, words, poetry
誌;シ;;document, records
児;ジ,ニ,ゲイ;こ,-こ,-っこ;newborn babe, child, young of animals
寺;ジ;てら;Buddhist temple
湿;シツ,シュウ;しめ.る,しめ.す,うるお.う,うるお.す;damp, wet, moist
捨;シャ;す.てる;discard, throw away, abandon, resign, reject, sacrifice
弱;ジャク;よわ.い,よわ.る,よわ.まる,よわ.める;weak, frail
周;シュウ;まわ.り;circumference, circuit, lap
州;シュウ,ス;す;state, province
拾;シュウ,ジュウ;ひろ.う;pick up, gather, find, go on foot, ten
舟;シュウ;ふね,ふな-,-ぶね;boat, ship
柔;ジュウ,ニュウ;やわ.らか,やわ.らかい,やわ,やわ.ら;tender, weakness, gentleness, softness
祝;シュク,シュウ;いわ.う;celebrate, congratulate
述;ジュツ;の.べる;mention, state, speak, relate
